2022-09-11 15:13:50,023 | root       | INFO       | [[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,023 | root       | INFO       | [[2 1 0 1 1 1 0 0 0 0 1 1 0 2 0 0 0 1 1 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,024 | root       | INFO       | [[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,025 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,026 | root       | INFO       | [[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,026 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,027 | root       | INFO       | [[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,028 | root       | INFO       | [[4 1 5 5 1 5 1 1 7 1 2 6 5 2 3 3 3 2 1 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,029 | root       | INFO       | [[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,030 | root       | INFO       | [[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,031 | root       | INFO       | [[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,031 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,032 | root       | INFO       | [[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,033 | root       | INFO       | [[0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,034 | root       | INFO       | [[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,034 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,035 | root       | INFO       | [[0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,036 | root       | INFO       | [[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,036 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,037 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,038 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,038 | root       | INFO       | [[1 1 1 2 1 0 4 0 0 0 1 1 0 0 0 4 0 1 1 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,039 | root       | INFO       | [[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,040 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,041 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,042 | root       | INFO       | [[0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,043 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,043 | root       | INFO       | [[0 0 0 0 2 2 0 1 0 3 0 1 0 1 0 0 2 6 0 3]]                                                                                                                                                                                                                                                                 
